T,R
25,10.8
27,10.9
29,11
32,11.1
34,11.2
37,11.3
41,11.4
44,11.5
46,11.6
48,11.7
51,11.8
54,11.9
56,12
59,12.1
61,12.2
63,12.3
65,12.4
66,12.5
70,12.6
72,12.7
74,12.8
76,12.9
78,13
79,13.1
81,13.2
84,13.3
